supplier_id,contact_name,email,company,business_partner,supplier,business_partner_category,business_partner_grouping,correspondence_language,organization_bp_name1,search_term1,street_name,house_number,postal_code,city_name,country,region,address_id,address_person,address_email_ordinal,business_partner_role_1,business_partner_role_2,company_code,payment_terms,currency,reconciliation_account,purchasing_organization,purchasing_group,purchase_order_currency,supplier_account_number,supplier_resp_sales_person_name,supplier_phone_number,incoterms_classification,incoterms_location1,supplier_account_group
SUP011,Sofie Andersen,andersen.sofie@fjord-design.no,Fjord Design,9100000011,9100000011,2,BP01,EN,Fjord Design,FJORD DESIGN,Demo Street,21,75001,Paris,FR,,8100000011,0000000011,001,FLVN00,FLVN01,1000,0001,EUR,300000,1000,001,EUR,SUP011,Sofie Andersen,+33 1 55011,EXW,Paris,0001
SUP012,Julien Moreau,moreau.julien@riviera-hotels.fr,Riviera Hotels,9100000012,9100000012,2,BP01,EN,Riviera Hotels,RIVIERA HOTELS,Demo Street,22,75001,Paris,FR,,8100000012,0000000012,001,FLVN00,FLVN01,1000,0001,EUR,300000,1000,001,EUR,SUP012,Julien Moreau,+33 1 55012,EXW,Paris,0001
SUP013,Diogo Santos,santos.diogo@iberia-food.pt,Iberia Food,9100000013,9100000013,2,BP01,EN,Iberia Food,IBERIA FOOD,Demo Street,23,1100-148,Lisbon,PT,,8100000013,0000000013,001,FLVN00,FLVN01,1000,0001,EUR,300000,1000,001,EUR,SUP013,Diogo Santos,+351 21 55013,EXW,Lisbon,0001
SUP014,Ivan Petrov,petrov.ivan@slavic-tech.pl,Slavic Tech,9100000014,9100000014,2,BP01,EN,Slavic Tech,SLAVIC TECH,Demo Street,24,00-001,Warsaw,PL,,8100000014,0000000014,001,FLVN00,FLVN01,1000,0001,PLN,300000,1000,001,PLN,SUP014,Ivan Petrov,+48 22 55014,EXW,Warsaw,0001
SUP015,Sarah Weber,weber.sarah@rhein-auto.de,Rhein Auto,9100000015,9100000015,2,BP01,EN,Rhein Auto,RHEIN AUTO,Demo Street,25,10115,Berlin,DE,,8100000015,0000000015,001,FLVN00,FLVN01,1000,0001,EUR,300000,1000,001,EUR,SUP015,Sarah Weber,+49 30 55015,EXW,Berlin,0001
SUP016,Ana Martins,martins.ana@lisbon-legal.pt,Lisbon Legal,9100000016,9100000016,2,BP01,EN,Lisbon Legal,LISBON LEGAL,Demo Street,26,1100-148,Lisbon,PT,,8100000016,0000000016,001,FLVN00,FLVN01,1000,0001,EUR,300000,1000,001,EUR,SUP016,Ana Martins,+351 21 55016,EXW,Lisbon,0001
SUP017,Stefan Berger,berger.stefan@swiss-secure.ch,Swiss Secure,9100000017,9100000017,2,BP01,EN,Swiss Secure,SWISS SECURE,Demo Street,27,75001,Paris,FR,,8100000017,0000000017,001,FLVN00,FLVN01,1000,0001,EUR,300000,1000,001,EUR,SUP017,Stefan Berger,+33 1 55017,EXW,Paris,0001
SUP018,Marc Dubois,dubois.marc@belgo-trade.be,Belgo Trade,9100000018,9100000018,2,BP01,EN,Belgo Trade,BELGO TRADE,Demo Street,28,1000,Brussels,BE,,8100000018,0000000018,001,FLVN00,FLVN01,1000,0001,EUR,300000,1000,001,EUR,SUP018,Marc Dubois,+32 2 55018,EXW,Brussels,0001
SUP019,Carlos Perez,perez.carlos@madrid-soft.es,Madrid Soft,9100000019,9100000019,2,BP01,EN,Madrid Soft,MADRID SOFT,Demo Street,29,28001,Madrid,ES,,8100000019,0000000019,001,FLVN00,FLVN01,1000,0001,EUR,300000,1000,001,EUR,SUP019,Carlos Perez,+34 91 55019,EXW,Madrid,0001
SUP020,Dmitri Nikolaev,nikolaev.dmitri@baltic-parts.ee,Baltic Parts,9100000020,9100000020,2,BP01,EN,Baltic Parts,BALTIC PARTS,Demo Street,30,75001,Paris,FR,,8100000020,0000000020,001,FLVN00,FLVN01,1000,0001,EUR,300000,1000,001,EUR,SUP020,Dmitri Nikolaev,+33 1 55020,EXW,Paris,0001
